Event Generated Time (UTC),Event ID,Event Description,Event Category,Threat Target IPv4 Address,Action Taken,Agent GUID
7/30/13 10:58:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 10:58:01 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 10:57:50 PM,1059,Scan Timed Out,Operational,104.12.15.105,None,57CCFB5D-5F22-48C6-8342-9B16B11DA949
7/30/13 10:57:43 PM,1059,Scan Timed Out,Operational,104.12.15.100,None,5581260D-0A28-4691-A57A-599DD3000386
7/30/13 10:57:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 10:57:01 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 10:56:55 PM,1059,Scan Timed Out,Operational,12.205.15.102,None,C1BB06D5-D468-47C2-8A48-727BE8C2A9FF
7/30/13 10:56:55 PM,1059,Scan Timed Out,Operational,104.12.15.100,None,5581260D-0A28-4691-A57A-599DD3000386
7/30/13 10:56:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 10:56:24 PM,1059,Scan Timed Out,Operational,104.12.13.106,None,D358C739-24FD-447D-B20D-0DAC8F825378
7/30/13 10:56:23 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 10:56:17 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 10:56:09 PM,18000,Host intrusion detected and handled,File system,104.12.21.11,Permitted,EC3C7893-D0E7-4560-987A-78077AFBD55B
7/30/13 10:56:08 PM,18000,Host intrusion detected and handled,File system,104.12.21.11,Permitted,EC3C7893-D0E7-4560-987A-78077AFBD55B
7/30/13 10:56:00 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 10:55:56 PM,18000,Host intrusion detected and handled,Registry,104.12.21.10,Permitted,982A0DAB-CD96-4A95-A7C1-01DD77B4F90E
7/30/13 10:55:55 PM,18000,Host intrusion detected and handled,Registry,104.12.21.10,Permitted,982A0DAB-CD96-4A95-A7C1-01DD77B4F90E
7/30/13 10:55:53 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 10:55:46 PM,18000,Host intrusion detected and handled,File system,104.12.21.13,Blocked,81EBB9CF-56ED-4C5D-9E2C-C509965ED9E6
7/30/13 10:55:44 PM,1059,Scan Timed Out,Operational,12.205.15.109,None,9A40883F-79BE-4662-A891-903A2289F29F
7/30/13 10:55:27 PM,18000,Host intrusion detected and handled,File system,12.205.21.13,Blocked,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 10:55:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 10:55:07 PM,1059,Scan Timed Out,Operational,104.12.15.103,None,F1DBD394-04EA-47FF-A73A-C13E35CFDC42
7/30/13 10:55:01 PM,18000,Host intrusion detected and handled,File system,144.170.91.13,Blocked,CE427382-2170-4177-A58A-EAAC5620AC3E
7/30/13 10:54:58 PM,1059,Scan Timed Out,Operational,104.12.13.104,None,1D093986-5BC0-4DC5-A10F-286FD2BB4ECF
7/30/13 10:54:54 PM,1059,Scan Timed Out,Operational,104.12.13.105,None,0581AB3B-4C95-4137-A9AE-E9B3F7BE4192
7/30/13 10:54:27 PM,18000,Host intrusion detected and handled,Registry,142.61.11.151,Permitted,41438AE7-F9F4-442C-ABE5-FAADA365DBEB
7/30/13 10:54:15 PM,1059,Scan Timed Out,Operational,12.205.15.105,None,0FB0A729-0AE9-40C2-AB2E-0AFB1F0AD1BB
7/30/13 10:54:14 PM,18000,Host intrusion detected and handled,Registry,144.170.91.10,Permitted,E3A32768-3207-40E4-82BB-41D955521626
7/30/13 10:54:14 PM,18000,Host intrusion detected and handled,Registry,144.170.91.10,Permitted,E3A32768-3207-40E4-82BB-41D955521626
7/30/13 10:53:56 PM,1059,Scan Timed Out,Operational,12.205.13.102,None,DDB992D4-FC2D-4B88-8282-469566BE1E79
7/30/13 10:53:50 PM,1059,Scan Timed Out,Operational,12.205.15.105,None,0FB0A729-0AE9-40C2-AB2E-0AFB1F0AD1BB
7/30/13 10:53:47 PM,18000,Host intrusion detected and handled,Registry,12.205.21.10,Permitted,306C0164-4C8F-492E-A571-EE9923784570
7/30/13 10:53:46 PM,18000,Host intrusion detected and handled,Registry,12.205.21.10,Permitted,306C0164-4C8F-492E-A571-EE9923784570
7/30/13 10:53:46 PM,18000,Host intrusion detected and handled,Registry,12.205.21.13,Permitted,53AC0026-0062-405A-B3A5-3DE5F03ACF24
7/30/13 10:53:44 PM,1059,Scan Timed Out,Operational,144.170.34.104,None,348767B6-3FF5-441E-82D8-6C02033A7133
7/30/13 10:53:34 PM,18000,Host intrusion detected and handled,File system,12.205.21.11,Permitted,49344B9D-BEF0-4DFC-9D0D-DDF113EF7360
